,Title,Year,Rating,Branch
271,Life with Mikey,1993,PG,Touchstone
272,What’s Love Got to Do with It,1993,R,Touchstone
273,Son-In-Law,1993,PG-13,Hollywood Pictures
274,Hocus Pocus,1993,PG,Standard
275,Another Stakeout,1993,PG-13,Touchstone
276,My Boyfriend’s Back,1993,PG-13,Touchstone
277,Father Hood,1993,PG-13,Hollywood Pictures
278,The Joy Luck Club,1993,R,Hollywood Pictures
279,Money for Nothing,1993,R,Hollywood Pictures
280,The Program,1993,R,Touchstone
281,Cool Runnings,1993,PG,Standard
282,The Nightmare Before Christmas,1993,PG,Touchstone
283,The Three Musketeers,1993,PG,Standard
284,Sister Act 2: Back in the Habit,1993,PG,Touchstone
285,Tombstone,1993,R,Hollywood Pictures
286,Cabin Boy,1994,PG-13,Touchstone
287,The Air Up There,1994,PG,Hollywood Pictures
288,Iron Will,1994,PG,Standard
289,My Father the Hero,1994,PG,Touchstone
290,Blank Check,1994,PG,Standard
291,Angie,1994,R,Hollywood Pictures
292,The Ref,1994,R,Touchstone
293,D2: The Mighty Ducks,1994,PG,Standard
294,Holy Matrimony,1994,PG-13,Hollywood Pictures
295,White Fang 2: Myth of the White Wolf,1994,PG,Standard
296,The Inkwell,1994,R,Touchstone
297,When a Man Loves a Woman,1994,R,Touchstone
298,Renaissance Man,1994,PG-13,Touchstone
299,The Lion King,1994,G,Standard
300,I Love Trouble,1994,PG,Touchstone
301,Angels in the Outfield,1994,PG,Standard
302,In the Army Now,1994,PG,Hollywood Pictures
303,Color of Night,1994,R,Hollywood Pictures
304,It's Pat,1994,PG-13,Touchstone
305,Camp Nowhere,1994,PG,Hollywood Pictures
306,A Simple Twist of Fate,1994,PG-13,Touchstone
307,Quiz Show,1994,PG-13,Hollywood
308,Terminal Velocity,1994,PG-13,Hollywood Pictures
309,Ed Wood,1994,R,Touchstone
310,Robert A. Heinlein's The Puppet Masters,1994,R,Hollywood Pictures
311,Squanto: A Warrior's Tale,1994,PG,Standard
312,The Santa Clause,1994,PG,Standard
313,A Low Down Dirty Shame,1994,R,Hollywood Pictures
314,Rudyard Kipling's The Jungle Book,1994,PG,Standard
315,Houseguest,1995,PG,Hollywood Pictures
316,Bad Company,1995,R,Touchstone
317,Miami Rhapsody,1995,PG-13,Hollywood Pictures
318,The Jerky Boys,1995,R,Touchstone
319,Heavyweights,1995,PG,Standard
320,Man of the House,1995,PG,Standard
321,Roommates,1995,PG,Hollywood Pictures
322,Tall Tale,1995,PG,Standard
323,Funny Bones,1995,R,Hollywood Pictures
324,Jefferson in Paris,1995,PG-13,Touchstone
325,A Goofy Movie,1995,G,Standard
326,While You Were Sleeping,1995,PG,Hollywood Pictures
327,A Pyromaniac's Love Story,1995,PG,Hollywood Pictures
328,Crimson Tide,1995,R,Hollywood Pictures
329,Mad Love,1995,PG-13,Touchstone
330,Pocahontas,1995,G,Standard
331,Judge Dredd,1995,R,Hollywood Pictures
332,Operation Dumbo Drop,1995,PG,Standard
333,Dangerous Minds,1995,R,Hollywood Pictures
334,A Kid in King Arthur's Court,1995,PG,Standard
335,The Tie that Binds,1995,R,Hollywood Pictures
336,Unstrung Heroes,1995,PG,Hollywood Pictures
337,The Big Green,1995,PG,Standard
338,Dead Presidents,1995,R,Hollywood Pictures
339,Feast of July,1995,R,Touchstone
340,The Scarlet Letter,1995,R,Hollywood Pictures
341,Frank and Ollie,1995,PG,Standard
342,Powder,1995,PG-13,Hollywood Pictures
343,Toy Story,1995,G,Standard
344,"Father of the Bride, Part II",1995,PG,Touchstone
345,Nixon,1995,R,Hollywood Pictures
346,Tom and Huck,1995,PG,Standard
347,Mr. Holland's Opus,1996,PG,Hollywood Pictures
348,White Squall,1996,PG-13,Hollywood Pictures
349,Mr. Wrong,1996,PG-13,Touchstone
350,Muppet Treasure Island,1996,G,Standard
351,Before and After,1996,PG-13,Hollywood Pictures
352,Up Close and Personal,1996,PG-13,Touchstone
353,Homeward Bound II: Lost in San Francisco,1996,G,Standard
354,Two Much,1996,PG-13,Touchstone
355,"Little Indian, Big City",1996,PG,Touchstone
356,James and the Giant Peach,1996,PG,Standard
357,Celtic Pride,1996,PG-13,Hollywood Pictures
358,Last Dance,1996,R,Touchstone
359,Boys,1996,PG-13,Touchstone
360,Spy Hard,1996,PG-13,Hollywood Pictures
361,Eddie,1996,PG-13,Hollywood Pictures
362,The Rock,1996,R,Hollywood Pictures
363,The Hunchback of Notre Dame,1996,G,Standard
364,Phenomenon,1996,PG,Touchstone
365,Kazaam,1996,PG,Touchstone
366,Jack,1996,PG-13,Hollywood Pictures
367,First Kid,1966,PG,Standard
368,The Rich Man's Wife,1966,R,Hollywood Pictures
369,D3: The Mighty Ducks,1996,PG,Standard
370,The Associate,1996,PG-13,Hollywood Pictures
371,Ransom,1996,R,Touchstone
372,The War at Home,1996,R,Touchstone
373,101 Dalmatians [live action],1996,G,Standard
374,The Preacher's Wife,1996,PG,Touchstone
375,Evita,1997,PG,Hollywood Pictures
376,Metro,1997,R,Touchstone
377,Prefontaine,1997,PG-13,Hollywood Pictures
378,Shadow Conspiracy,1997,R,Hollywood Pictures
379,That Darn Cat [remake],1997,PG,Standard
380,Jungle 2 Jungle,1997,PG,Standard
381,The Sixth Man,1997,PG-13,Touchstone
382,Grosse Pointe Blank,1997,R,Hollywood Pictures
383,Romy and Michele's High School Reunion,1997,R,Touchstone
384,Gone Fishin',1997,PG,Hollywood Pictures
385,Con Air,1997,R,Touchstone
386,Hercules,1997,G,Standard
387,George of the Jungle,1997,PG,Standard
388,Nothing to Lose,1997,R,Touchstone
389,Air Bud,1997,PG,Standard
390,G.I. Jane,1997,R,Hollywood Pictures
391,A Thousand Acres,1997,R,Touchstone
392,Washington Square,1997,PG,Hollywood Pictures
393,RocketMan,1997,PG,Standard
394,Playing God,1997,R,Touchstone
395,Flubber,1997,PG,Standard
396,An American Werewolf in Paris,1997,R,Hollywood Pictures
397,Mr. Magoo,1997,PG,Standard
398,Kundun,1998,PG-13,Touchstone
399,Deep Rising,1998,R,Hollywood Pictures
400,Krippendorf’s Tribe,1998,PG-13,Touchstone
401,"An Alan Smithee Film: Burn, Hollywood, Burn",1998,R,Hollywood Pictures
402,Meet the Deedles,1998,PG,Standard
403,He Got Game,1998,R,Touchstone
404,The Horse Whisperer,1998,PG-13,Touchstone
405,"Six Days, Seven Nights",1998,PG-13,Touchstone
406,Mulan,1998,G,Standard
407,Armageddon,1998,PG-13,Touchstone
408,Jane Austen’s Mafia!,1998,PG-13,Touchstone
409,The Parent Trap,1998,PG,Standard
410,Firelight,1998,R,Hollywood Pictures
411,Simon Birch,1998,PG,Hollywood Pictures
412,Holy Man,1998,PG,Touchstone
413,Beloved,1998,R,Touchstone
414,The Waterboy,1998,PG-13,Touchstone
415,I’ll Be Home for Christmas,1998,PG,Standard
416,Enemy of the State,1998,R,Touchstone
417,A Bug’s Life,1998,G,Standard
418,Mighty Joe Young,1998,PG,Standard
419,A Civil Action,1999,PG-13,Touchstone
420,Rushmore,1999,R,Touchstone
421,My Favorite Martian,1999,PG,Standard
422,The Other Sister,1999,PG-13,Touchstone
423,Doug’s 1st Movie,1999,G,Standard
424,10 Things I Hate About You,1999,PG-13,Touchstone
425,Endurance,1999,G,Standard
426,Instinct,1999,R,Touchstone
427,Tarzan,1999,G,Standard
428,Summer of Sam,1999,R,Touchstone
429,Inspector Gadget,1999,PG,Standard
430,The Sixth Sense,1999,PG-13,Hollywood
431,The 13th Warrior,1999,R,Touchstone
432,Breakfast of Champions,1999,R,Hollywood
433,Mumford,1999,R,Touchstone
434,Mystery Alaska,1999,R,Hollywood
435,The Hand Behind the Mouse: The Ub Iwerks Story,1999,G,Standard
436,The Straight Story,1999,G,Standard
437,The Insider,1999,R,Touchstone
438,Toy Story 2,1999,G,Standard
439,Deuce Bigalow: Male Gigolo,1999,R,Touchstone
440,Cradle Will Rock,1999,R,Touchstone
441,Bicentennial Man,1999,PG,Touchstone
442,Fantasia/2000,2000,G,Standard
443,Play It to the Bone,2000,R,Touchstone
444,Gun Shy,2000,R,Hollywood
