i,Title,Year,Rating,Branch,Original?
334,A Kid in King Arthur's Court,1995,PG,Standard,A
335,The Tie that Binds,1995,R,Hollywood Pictures,
336,Unstrung Heroes,1995,PG,Hollywood Pictures,
337,The Big Green,1995,PG,Standard,O
338,Dead Presidents,1995,R,Hollywood Pictures,
339,Feast of July,1995,R,Touchstone,
340,The Scarlet Letter,1995,R,Hollywood Pictures,
341,Frank and Ollie,1995,PG,Standard,N
342,Powder,1995,PG-13,Hollywood Pictures,
343,Toy Story,1995,G,Pixar,O
344,"Father of the Bride, Part II",1995,PG,Touchstone,
345,Nixon,1995,R,Hollywood Pictures,
346,Tom and Huck,1995,PG,Standard,A
347,Mr. Holland's Opus,1996,PG,Hollywood Pictures,
348,White Squall,1996,PG-13,Hollywood Pictures,
349,Mr. Wrong,1996,PG-13,Touchstone,
350,Muppet Treasure Island,1996,G,Standard,AS
351,Before and After,1996,PG-13,Hollywood Pictures,
352,Up Close and Personal,1996,PG-13,Touchstone,
353,Homeward Bound II: Lost in San Francisco,1996,G,Standard,AS
354,Two Much,1996,PG-13,Touchstone,
355,"Little Indian, Big City",1996,PG,Touchstone,
356,James and the Giant Peach,1996,PG,Standard,A
357,Celtic Pride,1996,PG-13,Hollywood Pictures,
358,Last Dance,1996,R,Touchstone,
359,Boys,1996,PG-13,Touchstone,
360,Spy Hard,1996,PG-13,Hollywood Pictures,
361,Eddie,1996,PG-13,Hollywood Pictures,
362,The Rock,1996,R,Hollywood Pictures,
363,The Hunchback of Notre Dame,1996,G,Standard,A
364,Phenomenon,1996,PG,Touchstone,
365,Kazaam,1996,PG,Touchstone,
366,Jack,1996,PG-13,Hollywood Pictures,
367,First Kid,1966,PG,Standard,O
368,The Rich Man's Wife,1966,R,Hollywood Pictures,
369,D3: The Mighty Ducks,1996,PG,Standard,S
370,The Associate,1996,PG-13,Hollywood Pictures,
371,Ransom,1996,R,Touchstone,
372,The War at Home,1996,R,Touchstone,
373,101 Dalmatians [live action],1996,G,Standard,R
374,The Preacher's Wife,1996,PG,Touchstone,
375,Evita,1997,PG,Hollywood Pictures,
376,Metro,1997,R,Touchstone,
377,Prefontaine,1997,PG-13,Hollywood Pictures,
378,Shadow Conspiracy,1997,R,Hollywood Pictures,
379,That Darn Ca,1997,PG,Standard,R
380,Jungle 2 Jungle,1997,PG,Standard,O
381,The Sixth Man,1997,PG-13,Touchstone,
382,Grosse Pointe Blank,1997,R,Hollywood Pictures,
383,Romy and Michele's High School Reunion,1997,R,Touchstone,
384,Gone Fishin',1997,PG,Hollywood Pictures,
385,Con Air,1997,R,Touchstone,
386,Hercules,1997,G,Standard,A
387,George of the Jungle,1997,PG,Standard,A
388,Nothing to Lose,1997,R,Touchstone,
389,Air Bud,1997,PG,Standard,O
390,G.I. Jane,1997,R,Hollywood Pictures,
391,A Thousand Acres,1997,R,Touchstone,
392,Washington Square,1997,PG,Hollywood Pictures,
393,RocketMan,1997,PG,Standard,R
394,Playing God,1997,R,Touchstone,
395,Flubber,1997,PG,Standard,R
396,An American Werewolf in Paris,1997,R,Hollywood Pictures,
397,Mr. Magoo,1997,PG,Standard,A
398,Kundun,1998,PG-13,Touchstone,
,The Wonderful Ice Cream Suit,1998,,Touchstone,
399,Deep Rising,1998,R,Hollywood Pictures,
400,Krippendorf’s Tribe,1998,PG-13,Touchstone,
401,"An Alan Smithee Film: Burn, Hollywood, Burn",1998,R,Hollywood Pictures,
402,Meet the Deedles,1998,PG,Standard,O
403,He Got Game,1998,R,Touchstone,
404,The Horse Whisperer,1998,PG-13,Touchstone,
405,"Six Days, Seven Nights",1998,PG-13,Touchstone,
406,Mulan,1998,G,Standard,A*
407,Armageddon,1998,PG-13,Touchstone,
408,Jane Austen’s Mafia!,1998,PG-13,Touchstone,
,The Patriot,1998,NaN,Touchstone,
,Snake Eyes,1998,NaN,Touchstone,
409,The Parent Trap,1998,PG,Standard,R
410,Firelight,1998,R,Hollywood Pictures,
411,Simon Birch,1998,PG,Hollywood Pictures,
412,Holy Man,1998,PG,Touchstone,
413,Beloved,1998,R,Touchstone,
414,The Waterboy,1998,PG-13,Touchstone,
415,I’ll Be Home for Christmas,1998,PG,Standard,O
416,Enemy of the State,1998,R,Touchstone,
417,A Bug’s Life,1998,G,Pixar,O
418,Mighty Joe Young,1998,PG,Standard,R
419,A Civil Action,1999,PG-13,Touchstone,
420,Rushmore,1999,R,Touchstone,
421,My Favorite Martian,1999,PG,Standard,A
422,The Other Sister,1999,PG-13,Touchstone,
423,Doug’s 1st Movie,1999,G,Standard,A
424,10 Things I Hate About You,1999,PG-13,Touchstone,
425,Endurance,1999,G,Standard,N
426,Instinct,1999,R,Touchstone,
427,Tarzan,1999,G,Standard,A
428,Summer of Sam,1999,R,Touchstone,
429,Inspector Gadget,1999,PG,Standard,A
430,The Sixth Sense,1999,PG-13,Hollywood,
431,The 13th Warrior,1999,R,Touchstone,
432,Breakfast of Champions,1999,R,Hollywood,
433,Mumford,1999,R,Touchstone,
,Bringing Out the Dead,1999,,Touchstone,
434,Mystery Alaska,1999,R,Hollywood,
435,The Hand Behind the Mouse: The Ub Iwerks Story,1999,G,Standard,N
436,The Straight Story,1999,G,Standard,A*
437,The Insider,1999,R,Touchstone,
438,Toy Story 2,1999,G,Pixar,S
439,Deuce Bigalow: Male Gigolo,1999,R,Touchstone,
440,Cradle Will Rock,1999,R,Touchstone,
441,Bicentennial Man,1999,PG,Touchstone,
442,Fantasia 2000,2000,G,Standard,AS
443,Play It to the Bone,2000,R,Touchstone,AS
,The Next Best Thing,2000,,Touchstone,
444,Gun Shy,2000,R,Hollywood,O
445,The Tigger Movie,2000,G,Standard,A
446,Mission to Mars,2000,PG,Touchstone,A*
447,Whispers,2000,G,Standard,O
448,High Fidelity,2000,R,Touchstone,A
449,Keeping the Faith,2000,PG-13,Touchstone,O
450,Dinosaur,2000,PG,Standard,O
451,Shanghai Noon,2000,PG-13,Touchstone,O
452,Gone in 60 Seconds,2000,PG-13,Touchstone,A
453,Disney’s The Kid,2000,PG,Standard,O
454,Coyote Ugly,2000,PG-13,Touchstone,A
455,The Crew,2000,PG-13,Touchstone,O
456,Duets,2000,R,Hollywood,O
457,Remember the Titans,2000,PG,Standard,A*
458,Playing Mona Lisa,2000,R,Standard,A
459,Unbreakable,2000,PG-13,Touchstone,O
