Item,CCO Wikipedia link,CCO image link,CCO — Type,CCO — Start Date,CCO — End Date,Original?,Adaptation Type,Based on Real Life?
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI Book,https://en.wikipedia.org/wiki/Killers_of_the_Flower_Moon_(book),,Book,2017,,0,,1
The Osage Murders ,https://en.wikipedia.org/wiki/Osage_Indian_murders,,Life,1918,1931,1,,1
The Exorcist: Believer,https://en.wikipedia.org/wiki/The_Exorcist:_Believer,,Movie,2023,,0,Sequel,0
Dominion,https://en.wikipedia.org/wiki/Dominion:_Prequel_to_the_Exorcist,,Movie,2005,,0,Sequel,0
Exorcist: The Beginning,https://en.wikipedia.org/wiki/Exorcist:_The_Beginning,,Movie,2004,,0,Sequel,0
The Exorcist III,https://en.wikipedia.org/wiki/The_Exorcist_III,,Movie,1990,,0,Sequel,0
The Exorcist II: The Heretic,https://en.wikipedia.org/wiki/Exorcist_II:_The_Heretic,,Movie,1977,,0,Sequel,0
The Exorcist (1973),https://en.wikipedia.org/wiki/The_Exorcist,,Movie,1973,,0,Adaptation,0
The Exorcist (1971) Book,https://en.wikipedia.org/wiki/The_Exorcist_(novel),,Book,1971,,1,,0
PAW Patrol: The Mighty Movie,https://en.wikipedia.org/wiki/PAW_Patrol:_The_Mighty_Movie,,Movie,2023,,0,Sequel,0
Paw Patrol: The Movie (2021),https://en.wikipedia.org/wiki/PAW_Patrol:_The_Movie,,Movie,2021,,0,Adaptation,0
Paw Patrol TV Series,https://en.wikipedia.org/wiki/PAW_Patrol,,TV,2013,Present,1,,0
Cocaine Bear,https://en.wikipedia.org/wiki/Cocaine_Bear,,Movie,2023,,0,,1
Cocaine Bear incident of 1985,https://en.wikipedia.org/wiki/Cocaine_Bear_(bear),,Life,1985,,1,,1
A Man Called Otto,https://en.wikipedia.org/wiki/A_Man_Called_Otto,,Movie,2023,,0,Reimagining,0
A Man Called Ove (2015) Film,https://en.wikipedia.org/wiki/A_Man_Called_Ove_(film),,Movie,2015,,0,Adaptation,0
A Man Called Ove (2012) Book,https://en.wikipedia.org/wiki/A_Man_Called_Ove_(novel),,Book,2012,,1,,0
