,Rank,Release,Domestic Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor,Year,id,budget,Worldwide Gross,Release_Date,Profit
562,13,Lincoln,241814393.18556234,2293.0,944308.0,0.005,11.0,Nov 9,Apr 25,Walt Disney Studios Motion Pictures,2012,72976.0,86263708.98194204,365359985.888133,2012-11-09,279096276.90619093
563,14,Men in Black³,237584659.24853438,4248.0,54592779.0,0.305,4248.0,May 25,Sep 9,Sony Pictures Releasing,2012,607.0,119442058.59038128,782212770.3685637,2012-05-25,662770711.7781824
564,15,Django Unchained,216064624.29622725,3012.0,30122888.0,0.185,3010.0,Dec 25,May 16,The Weinstein Company,2012,68718.0,132713398.43375698,564520644.5075917,2012-12-25,431807246.0738348
565,16,Ice Age: Continental Drift,214095700.26126993,3886.0,46629259.0,0.289,3881.0,Jul 13,Feb 7,Twentieth Century Fox,2012,57800.0,126077728.51206914,1164221362.7750027,2012-07-13,1038143634.2629336
566,17,Snow White and the Huntsman,206146881.6931714,3777.0,56217700.0,0.36200000000000004,3773.0,Jun 1,Sep 6,Universal Pictures,2012,58595.0,225612777.33738688,526341338.1882802,2012-06-01,300728560.8508934
567,18,Les Misérables,197490502.96845737,2927.0,27281735.0,0.183,2814.0,Dec 25,Apr 4,Universal Pictures,2012,82695.0,80955173.04459175,587437688.3756458,2012-12-25,506482515.331054
568,19,Hotel Transylvania,196831286.32148924,3375.0,42522194.0,0.287,3349.0,Sep 28,Feb 28,Sony Pictures Releasing,2012,76492.0,112806388.66869344,475612441.89876914,2012-09-28,362806053.2300757
569,20,Taken 2,185605377.133,3706.0,49514769.0,0.354,3661.0,Oct 5,Feb 21,Twentieth Century Fox,2012,82675.0,59721029.29519064,499135091.50936,2012-10-05,439414062.2141694
570,21,21 Jump Street,183738603.9279511,3148.0,36302612.0,0.262,3121.0,Mar 16,Jul 1,Sony Pictures Releasing,2012,64688.0,55739627.342177935,267530739.53263587,2012-03-16,211791112.19045794
571,22,Argo,180524067.76791206,3247.0,19458109.0,0.14300000000000002,3232.0,Oct 12,Apr 24,Warner Bros.,2012,68734.0,59057462.303021856,308293224.5616175,2012-10-12,249235762.25859565
572,23,Silver Linings Playbook,175305053.65347525,2809.0,443003.0,0.003,16.0,Nov 16,Jun 6,The Weinstein Company,2012,82693.0,27869813.671088967,313751000.6969085,2012-11-16,285881187.0258195
573,24,Prometheus,167852036.41631752,3442.0,51050101.0,0.40399999999999997,3396.0,Jun 8,Sep 20,Twentieth Century Fox,2012,70981.0,172527417.9638841,535305423.5443348,2012-06-08,362778005.5804508
574,25,Safe House,167714478.97884092,3121.0,40172720.0,0.318,3119.0,Feb 10,May 17,Universal Pictures,2012,59961.0,112806388.66869344,276145002.98749095,2012-02-10,163338614.31879753
575,26,The Vow,165910367.73199648,3038.0,41202458.0,0.33,2958.0,Feb 10,May 17,Screen Gems,2012,72570.0,39814019.53012709,260270310.67074925,2012-02-10,220456291.14062214
576,27,Life of Pi,165874525.82448146,2946.0,22451514.0,0.18,2927.0,Nov 21,Jul 25,Twentieth Century Fox,2012,87827.0,159256078.12050837,808224596.46158,2012-11-21,648968518.3410716
577,28,Magic Mike,150923761.62635785,3120.0,39127170.0,0.344,2930.0,Jun 29,Sep 27,Warner Bros.,2012,77930.0,9289937.89036299,221896802.18124166,2012-06-29,212606864.29087868
578,29,The Bourne Legacy,150236703.0355323,3753.0,38142825.0,0.337,3745.0,Aug 10,Nov 8,Universal Pictures,2012,49040.0,172527417.9638841,367085260.0677718,2012-08-10,194557842.1038877
579,30,Journey 2: The Mysterious Island,137836520.48215544,3500.0,27335363.0,0.263,3470.0,Feb 10,Jun 28,Warner Bros.,2012,72545.0,104843584.76266801,472051949.778827,2012-02-10,367208365.016159
580,31,Rise of the Guardians,137242585.5558769,3672.0,23773465.0,0.23,3653.0,Nov 21,Apr 11,DreamWorks,2012,81188.0,192434427.72894764,407352721.4663275,2012-11-21,214918293.73737985
581,32,Zero Dark Thirty,127034215.20872498,2946.0,417150.0,0.004,5.0,Dec 19,Mar 31,Sony Pictures Releasing,2012,97630.0,53085359.37350279,176243393.12002927,2012-12-19,123158033.74652648
582,33,Flight,124448505.65454672,2638.0,24900566.0,0.266,1884.0,Nov 2,Feb 14,Paramount Pictures,2012,87502.0,41141153.51446466,214730278.6658188,2012-11-02,173589125.15135413
583,34,Think Like a Man,121495406.9266183,2052.0,33636303.0,0.36700000000000005,2015.0,Apr 20,Jul 8,Screen Gems,2012,67660.0,15925607.812050838,127498434.7322404,2012-04-20,111572826.92018956
584,35,The Campaign,115338223.21877751,3302.0,26588460.0,0.306,3205.0,Aug 10,Nov 22,Warner Bros.,2012,77953.0,126077728.51206914,139226634.93685377,2012-08-10,13148906.42478463
585,36,The Expendables 2,112843803.22997989,3355.0,28591370.0,0.336,3316.0,Aug 17,Nov 22,Lionsgate Films,2012,76163.0,132713398.43375698,418047205.0663345,2012-08-17,285333806.63257754
586,37,Wrath of the Titans,111041410.62164517,3545.0,33457188.0,0.4,3545.0,Mar 30,Jun 28,Warner Bros.,2012,57165.0,199070097.65063548,400794463.2699461,2012-03-30,201724365.61931062
587,38,Jack Reacher,106264594.89652169,3352.0,15210156.0,0.19,3352.0,Dec 21,Mar 21,Paramount Pictures,2012,75780.0,79628039.06025419,289713348.7808915,2012-12-21,210085309.7206373
