ID,Item,Wiki_Link,Image_Link,Medium,Year,Original,Adaptation_Type,Based on Real Life?,BoxOff_Rank,Domestic_Gross,Worldwide_Gross,Production_Budget,Profit
ID-015,Guardians of the Galaxy,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(film),,Movie,2014,0,Adaptation,0,4,439631547.00,772776600.00,170000000.00,602776600.00
ID-016,Guardians of the Galaxy (2008) Series,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(2008_team),,Comic,2008,0,,0,4,,,,
ID-017,Guardians of the Galaxy (1990) Series,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(1969_team),,Comic,1990,1,,0,4,,,,
ID-018,Annihilation Conquest (2007) Series,https://en.wikipedia.org/wiki/Annihilation:_Conquest,,Comic,2007,0,,0,4,,,,
ID-019,Annihilation (2006) Series,https://en.wikipedia.org/wiki/Annihilation_(comics),,Comic,2006,0,,0,4,,,,
ID-020,Marvel Cinematic Universe,https://en.wikipedia.org/wiki/Marvel_Cinematic_Universe,,CU,-1,0,,0,4,,,,
ID-021,Oppenheimer,https://en.wikipedia.org/wiki/Oppenheimer_(film),,Movie,2023,0,,1,5,326101370.00,952000000.00,100000000.00,852000000.00
ID-022,Based on the life of J. Robert Oppenheimer,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer,,Life,1904,1,,1,5,,,,
ID-023,The Little Mermaid,https://en.wikipedia.org/wiki/The_Little_Mermaid_(2023_film),,Movie,2023,0,Reimagining,0,6,298172056.00,569600000.00,297000000.00,272600000.00
ID-024,The Little Mermaid (1989),https://en.wikipedia.org/wiki/The_Little_Mermaid_(1989_film),,Movie,1989,0,Adaptation,0,6,111543479.00,211343479.00,40000000.00,171343479.00
ID-025,The Little Mermaid Fairytale,https://en.wikipedia.org/wiki/The_Little_Mermaid,,Fairytale,1837,1,,0,6,,,,
ID-026,Avatar: The Way of Water,https://en.wikipedia.org/wiki/Avatar:_The_Way_of_Water,,Movie,2022,0,Sequel,0,7,283067859.00,2320250281.00,460000000.00,1860250281.00
ID-027,Avatar,https://en.wikipedia.org/wiki/Avatar_(2009_film),,Movie,2009,1,,0,7,785221649.00,2923706026.00,237000000.00,2686706026.00
ID-028,Ant-Man and the Wasp: Quantumania,https://en.wikipedia.org/wiki/Ant-Man_and_the_Wasp:_Quantumania,,Movie,2023,0,Sequel,0,8,214504909.00,476071180.00,200000000.00,276071180.00
ID-029,Ant-Man and the Wasp,https://en.wikipedia.org/wiki/Ant-Man_and_the_Wasp,,Movie,2018,0,Sequel,0,8,216648740.00,622674139.00,140000000.00,482674139.00
ID-030,Ant-Man,https://en.wikipedia.org/wiki/Ant-Man_(film),,Movie,2015,0,Adaptation,0,8,180202163.00,519311965.00,130000000.00,389311965.00
ID-031,Marvel Premiere #47,https://en.wikipedia.org/wiki/Marvel_Premiere,,Comic,1979,1,,0,8,,,,
ID-032,John Wick: Chapter 4,https://en.wikipedia.org/wiki/John_Wick:_Chapter_4,,Movie,2023,0,Sequel,0,9,187131806.00,440157245.00,90000000.00,350157245.00
ID-033,John-Wick: Chapter 3,https://en.wikipedia.org/wiki/John_Wick:_Chapter_3_%E2%80%93_Parabellum,,Movie,2019,0,Sequel,0,9,43037835.00,326709727.00,55000000.00,271709727.00
